Sample,Filename,r_processed_1,r_with_adapters_1,bp_processed_1,quality_trimmed_1,bp_written_1,percent_trimmed_1,r_processed_2,r_with_adapters_2,bp_processed_2,quality_trimmed_2,bp_written_2,percent_trimmed_2,r_processed_3,r_with_adapters_3,bp_processed_3,quality_trimmed_3,bp_written_3,percent_trimmed_3,aligned_reads,dedup_reads,ambig_reads,discarded_reads,meth_chg,meth_chh,meth_cpg,no_alignments,percent_aligned,percent_chg_meth,percent_chh_meth,percent_cpg_meth,total_c,total_reads,unmeth_chg,unmeth_chh,unmeth_cpg
1,zr3616_1_R1.fq.gz,162780101,62282524,19464055669,3949688,19380382323,0.429886491,161236355,69191738,16097674230,12874747,16006234206,0.568032516,161104708,17875932,16001858566,3273494,15778099632,1.398330907,98315254,74780342,30441459,408,3125143,12997263,49312443,29699917,62.0455288,0.5,0.6,10.8,3319534389,158456630,600629677,2244465683,409004180
1,zr3616_1_R2.fq.gz,162780101,62280853,19461874095,3835880,19378440979,0.428700317,161236355,69092736,16097114176,16560046,16002140047,0.590007177,161104708,17645060,15998741118,3705302,15671714831,2.044075122,,,,,,,,,,,,,,,,,
2,zr3616_2_R1.fq.gz,168555919,64789951,20136253714,4613448,20048443536,0.436080014,166968754,72050260,16649016827,13348721,16553811294,0.57183877,166832019,17883352,16549204997,3301519,16366200743,1.105819005,101710771,76654951,31143727,314,3247270,13382287,50246857,31882668,61.7412412,0.5,0.6,10.7,3417738104,164737166,616541822,2315137729,419182139
2,zr3616_2_R2.fq.gz,168555919,64689343,20137031441,4088114,20050187834,0.431263204,166968754,72030649,16652184280,18025036,16552510285,0.598564088,166832019,17423292,16548960510,4272473,16284859854,1.595874592,,,,,,,,,,,,,,,,,
3,zr3616_3_R1.fq.gz,190890981,67946267,21887812359,4711467,21792339028,0.436194031,188570462,80733395,17936139623,13556549,17830717001,0.587766511,188375666,21487316,17824771638,3215006,17516630527,1.728724032,113619362,84790314,36631725,385,3329156,13990966,54179448,34374786,61.54032485,0.5,0.6,11,3641280967,184625873,653627897,2479284174,436869326
3,zr3616_3_R2.fq.gz,190890981,68104946,21887510700,6137470,21790702726,0.44229778,188570462,80665127,17936143783,19692763,17824830257,0.620610134,188375666,21144092,17820129803,4295767,17363855972,2.560440558,,,,,,,,,,,,,,,,,
4,zr3616_4_R1.fq.gz,199920896,74214434,23462606601,5081221,23360095022,0.436914707,197994215,85382636,19327202283,14840406,19215160741,0.579709056,197822142,21373406,19209489295,3593209,18997290406,1.104656588,120720568,90381383,38003343,496,3685754,15262451,60367388,36680613,61.77982246,0.5,0.6,11.1,3990533393,195404524,721350336,2705409993,484457471
4,zr3616_4_R2.fq.gz,199920896,74522650,23464661406,5134686,23362142591,0.436907285,197994215,85518274,19331276134,21095559,19213114882,0.61124393,197822142,20805963,19208738542,4664617,18903811337,1.587440031,,,,,,,,,,,,,,,,,
5,zr3616_5_R1.fq.gz,150419008,55059110,17427703814,4672609,17350375657,0.443708235,148703891,64090433,14312976515,12726746,14227316196,0.59848012,148556552,16348719,14222653957,3116855,14037493557,1.301869542,90252987,69896131,28869192,323,2737128,11517755,42197405,27270882,61.65113728,0.5,0.6,10.5,2949353611,146393061,530661176,2003907667,358332480
5,zr3616_5_R2.fq.gz,150419008,54717652,17426503375,4558367,17349807948,0.440107951,148703891,63834369,14313656899,15779438,14225303648,0.617265396,148556552,16112459,14221637036,3330879,13952076286,1.895427012,,,,,,,,,,,,,,,,,
6,zr3616_6_R1.fq.gz,197572800,70288569,22541948875,5531625,22442009492,0.443348459,195031602,83929651,18448842626,17583668,18335636313,0.613622845,194821663,22011384,18329414001,4444384,18054741769,1.498532533,117720000,86593544,38491262,395,3515562,14731836,55725063,35348777,61.45331804,0.5,0.6,10.8,3775636196,191560039,681604014,2560455609,459604112
6,zr3616_6_R2.fq.gz,197572800,70057307,22544053643,5055245,22445212917,0.438433689,195031602,83611065,18453430191,20059174,18338376548,0.623481065,194821663,21438386,18333205768,4157915,17933262213,2.181525479,,,,,,,,,,,,,,,,,
7,zr3616_7_R1.fq.gz,150811300,55728162,17548799698,4591455,17470764290,0.444676612,149222025,64446811,14426231802,12087412,14340775620,0.592366622,149080064,15781866,14336134965,2861987,14195752064,0.979224187,91034855,70450786,28082779,480,2798783,11876787,45632004,28400781,61.71084132,0.5,0.6,11.5,2954641746,147518415,529254237,2012957096,352122839
7,zr3616_7_R2.fq.gz,150811300,55622993,17546903399,4282115,17469617103,0.440455471,149222025,64464629,14426694309,16612357,14336913165,0.622326516,149080064,15309340,14333353408,3668034,14133103122,1.397093062,,,,,,,,,,,,,,,,,
8,zr3616_8_R1.fq.gz,163170949,60377927,19050779988,4388508,18967646504,0.436378374,161458218,69685366,15674571216,12487517,15582808489,0.585424161,161309784,17262120,15578048811,3003729,15408768753,1.086657643,98194103,75170623,30941942,334,3121497,13021467,48308489,30246691,61.60899572,0.5,0.6,10.9,3240697758,159382736,583925074,2197494908,394826323
8,zr3616_8_R2.fq.gz,163170949,60258226,19053229657,4238850,18970596628,0.433695654,161458218,69620122,15679022191,17518289,15582472384,0.615789721,161309784,16896270,15578772993,3804929,15335395137,1.562240211,,,,,,,,,,,,,,,,,